,From,To
28085,4918,5218
28088,6593,7928
28102,6747,2812
28110,9609,4589
28111,9609,6747
28138,3620,3561
28139,7223,2699
28150,1323,2161
28158,6262,9258
28183,5923,9254
28184,8971,7785
28186,3860,4494
28190,6151,7014
28201,9379,7244
28204,9487,873
28205,9487,4065
28210,7954,1122
28211,7954,3830
28212,7954,7436
28214,4946,8470
28215,692,2499
28217,692,7615
28218,289,677
28219,289,1363
28234,5703,3866
28247,2289,712
28249,1517,6374
28251,1517,8454
28254,2580,3409
28255,1366,2517
28256,1366,5835
28257,1366,9399
28258,9321,4342
28295,1562,4425
28296,850,391
28299,6675,850
28302,4912,6723
28303,6238,3019
28332,6502,8269
28336,275,6576
28349,1787,8299
28351,7981,275
28352,7981,606
28355,7981,5138
28359,5600,4758
28361,607,4111
28383,9691,160
28385,9691,4394
28386,9691,7842
28388,9066,8208
28390,7930,5057
28425,2227,796
28426,2227,2776
28428,6418,624
28429,6418,9686
28434,9435,8367
28435,9435,9243
28475,8593,8141
28478,5188,7723
28524,150,6260
28526,5636,6716
28529,7662,3440
28533,7626,4935
28555,7185,6394
28556,3170,9173
28568,6562,6654
28569,6562,7133
28580,9684,3630
28583,9684,8946
28585,6344,8654
28636,2207,1418
28637,2207,8887
28640,6074,7816
28646,6594,4302
28647,6594,6595
28648,6292,7361
28652,1175,8412
28655,6491,2272
28656,6491,5913
28659,7634,7303
28660,1777,5601
28662,8884,501
28663,9729,9711
28664,1290,2491
28671,2569,5760
28677,3838,2028
28689,3599,3049
28691,326,4244
28692,637,4741
28696,1608,8387
28697,1608,8571
28701,9804,1442
28726,7239,6624
28727,7239,9870
28733,4765,7814
28751,9405,7446
28767,6030,2859
28771,1896,4421
28776,2317,5570
28777,2317,6135
28778,7059,7409
28781,6989,222
28782,6989,1581
28797,9629,5151
28833,9295,9046
28840,9472,8641
28843,7496,6085
28844,4458,38
28846,4458,9264
28848,2886,1102
28849,2886,2797
28850,2886,4421
28851,2886,5328
28852,7130,4543
28853,7130,8935
28889,4274,1433
28892,4274,2416
28906,4274,8924
28912,2760,1719
28941,4383,7563
28953,4782,4267
28954,4782,7481
28982,2956,7787
28985,57,7947
29008,7428,8012
29011,6937,2396
29024,1105,9764
29027,3706,1328
29029,3706,5312
29033,3706,8112
29042,745,548
29043,745,8246
29050,8147,4131
29053,8835,49
29064,3239,871
29065,3239,8813
29067,1385,4927
29084,3896,1484
29085,3896,4594
29086,1725,38
29087,1725,5013
29088,251,3970
29106,9600,1385
29111,9600,9328
29113,6649,5518
29133,4694,3899
29136,7956,1502
29140,7274,1637
29141,7274,9158
29160,5803,7192
29166,3530,1986
29167,5118,5116
29168,5118,8161
29172,7932,3114
29174,7804,4789
29176,8493,9703
29185,4921,213
29210,4685,1435
29214,4685,6107
29223,1750,6117
29234,4733,5575
29238,5108,15
29242,8922,2335
29243,8922,5108
29244,8922,7275
29248,2523,2141
29265,7980,5324
29271,7351,2117
29272,7351,5891
29273,4988,4558
29283,1944,5097
29284,1944,8115
29285,8538,2679
29288,1884,5858
29289,3768,9295
29349,9029,2641
29350,9029,3684
29351,9029,8667
29356,2043,1368
29357,1985,452
29362,9296,1052
29363,9296,2179
29365,7952,2351
29367,7952,4263
29373,3490,399
29374,3490,5847
29424,9381,554
29425,9381,698
29426,9381,1537
29427,9381,1957
29428,9381,5241
29429,9381,8078
29430,9381,8203
29431,9381,8227
29465,6925,6137
29468,5627,583
29469,5627,9215
29470,5627,9821
29472,1019,698
29477,1019,4677
29488,2368,9870
29491,9098,832
29496,9098,8680
29498,4010,3961
29503,9875,2730
29504,1525,414
29505,1525,9843
29506,4050,4274
29507,4032,5053
29511,2432,481
29512,2432,610
29523,5210,1647
29525,5210,3813
29532,7221,6813
29537,8443,8768
29544,2467,7038
29547,2465,485
29548,2465,2194
29551,1659,9711
29561,1555,5351
29567,1395,9691
29568,9581,1395
29570,3870,8259
29571,4284,5034
29576,3122,9411
29578,4822,8957
29583,5450,8214
29597,5289,1175
29605,7537,4353
29606,7537,5377
29614,6553,6561
29627,2684,1611
29630,2684,4109
29636,2684,8906
29637,1716,9390
29641,3856,8113
29642,9132,7547
29643,6413,3354
29644,6413,7626
29645,6413,7835
29646,2225,412
29658,6887,2225
29662,6887,5628
29670,4977,3443
29723,9042,2708
29729,1895,2144
29746,8341,1459
29747,8341,7382
29748,6109,5300
29749,6109,7493
29756,8737,2716
29757,8737,3939
29780,2550,699
29818,4803,4191
29827,3401,9197
29833,4447,6698
29836,7796,4447
29837,7796,8846
29844,6837,5889
29845,2770,7111
29846,3919,3245
29858,9080,3919
29867,2478,5937
29868,2478,6293
29886,7421,825
29896,5857,5920
29897,5857,8614
29900,3165,1883
29901,3165,6596
29903,2171,6616
29912,115,9856
29913,3215,1088
29915,3215,3899
29916,3215,9684
29927,8626,6169
29928,9401,5686
29933,5172,4112
29942,2747,283
29943,2747,2215
29950,690,6786
29953,7121,318
29963,5383,3990
29982,2378,531
29984,2378,1821
29987,2378,4240
29992,8165,4069
29995,9659,8165
30012,2345,5694
30045,1196,1611
30050,1342,1834
30053,9677,9596
30055,4132,8482
30056,4132,8770
30080,9170,758
30083,9170,1260
30089,9170,5531
30094,6261,5306
30099,717,652
30106,3808,2016
30111,6857,471
30112,6857,3808
30113,6857,3876
30119,6740,6890
30128,2898,3425
30133,9083,506
30137,9083,6981
30139,3640,3899
30148,5878,7129
30152,1118,3375
30156,1118,6685
30157,1118,7614
30161,6375,2677
30162,6375,4263
30163,9623,4332
30164,1265,4332
30167,1189,8995
30177,8613,4350
30178,8613,4524
30179,7896,8964
30187,9352,3438
30215,8139,5681
30216,8139,5807
30217,7118,2786
30224,2581,8095
30225,4390,1265
30231,3088,4962
30246,3048,9711
30250,4525,4075
30252,4525,8503
30254,2597,6400
30255,716,6591
30262,3754,7093
30265,2825,7814
30273,4941,4989
30274,3665,3100
30275,3665,3666
30276,7885,1891
30293,7552,8793
30302,9230,6098
30320,4738,5297
30322,4738,8269
30323,8492,8995
30332,43,4995
30337,43,8370
30343,1161,2352
30365,6928,1738
30366,6928,5236
30369,2659,9348
30372,3424,9297
30374,2273,945
30378,6808,8392
30379,523,9150
30420,4610,1566
30422,4610,3646
30423,4610,6114
30440,2992,9216
30443,6803,4661
30444,6337,1799
30457,6337,9332
30470,9532,2144
30471,9532,5889
30477,2313,4846
30495,5708,6550
30497,7136,5175
30502,2854,3749
30511,5999,2203
30512,5999,5751
30513,5999,6801
30515,3399,4908
30516,3399,9785
30524,2110,8891
30538,8048,8589
30542,1471,29
30543,1471,245
30544,1471,9657
30555,7645,7663
30558,7445,5996
30560,6814,6535
30561,3581,1564
30562,3581,1846
30564,446,7306
30566,8253,446
30567,8253,5538
30576,3155,1036
30577,3155,7572
30578,7739,6030
30579,7387,9795
30587,2594,5263
30588,2594,8995
30604,8974,3812
30605,8974,4201
30606,7060,9869
30615,6830,667
30617,6830,2686
30630,7272,6710
30631,7272,7040
30632,9305,5075
30646,1544,8778
30648,4161,2725
30650,6420,736
30660,4682,9225
30661,8294,4212
30663,8294,8571
30672,8926,425
30675,724,58
30692,6273,343
30702,6273,6998
30705,6273,7203
30707,6273,7401
30718,5933,7843
30722,1347,6561
30725,650,6274
30727,650,6739
30728,650,9855
30733,7019,3995
30734,7019,4707
30735,8175,352
30736,8175,467
30737,8175,2473
30738,8623,146
30739,8623,1392
30751,3682,7361
30760,3107,4717
30763,2380,7232
30766,2381,3013
30773,770,4015
30774,770,6519
30775,6658,1517
30776,6658,2888
30801,3341,6369
30822,1805,7409
30823,1805,8582
30825,3606,1577
30852,1578,4245
30853,1578,7616
30854,1578,7801
30856,1576,7242
30860,4036,9445
30861,4036,9746
30862,553,2857
30876,2149,5687
30886,7737,6269
30887,4389,5935
30892,4793,7457
30896,6431,314
30899,6431,8943
30900,6696,212
30901,6696,4611
30904,4516,5777
30906,4516,6310
30907,4516,8055
30911,7902,3945
30912,7902,6269
30913,7902,7848
30915,754,2247
30917,754,3240
30952,9203,6408
30959,2401,5669
30964,6208,9599
30965,2670,1173
30966,2670,3103
30978,734,3886
30981,8996,1936
30994,7396,407
30997,7396,2509
30998,7396,8308
30999,2430,7396
31001,547,6462
31002,5592,73
31003,4239,1547
31019,6211,1177
31032,6774,2466
31033,6774,3136
31078,7745,1127
31079,7745,3534
31081,5463,6160
31099,7163,3763
31108,2621,1907
31111,8719,8178
31112,8729,7676
31113,8729,8728
31148,7154,2452
31153,8784,4274
31154,8784,7823
31162,2940,1519
31185,4809,3922
31186,4809,4041
31190,9580,4091
31198,3389,381
31199,4113,381
31202,7893,1415
31203,7893,2548
31204,9412,4266
31205,9823,7295
31215,9573,2579
31218,9573,4548
31222,9573,6152
31229,3587,9785
31233,1151,7787
31234,1382,1377
31245,3309,1351
31247,9103,8778
31248,7793,7952
31250,1548,1047
31251,7908,4152
31252,7908,4731
31254,7945,7908
31255,6711,1298
31261,9799,1413
31262,9799,2290
31265,9799,5040
31271,3437,5972
31276,4325,1876
31278,7653,1277
31300,3989,2766
31322,4606,4211
31323,4606,4216
31324,3651,3630
31349,6920,7694
31352,5617,335
31353,5617,7046
31356,4728,333
31357,4728,334
31361,4728,7193
31366,4637,424
31371,389,6141
31395,2382,6028
31422,9810,7122
31423,9810,8041
31425,9810,9307
31439,8451,2463
31468,2460,6372
31469,5824,7658
31471,3320,6268
31483,3130,8331
31487,7187,7238
31488,5967,2766
31489,5967,3653
31490,5967,4376
31493,9362,135
31494,9362,1739
31500,5818,422
31505,8670,5442
31526,6578,4401
31527,6578,9266
31528,8395,5764
31531,2200,4716
31535,4343,7184
31536,4343,8786
31542,1929,8365
31543,2422,7151
31545,4917,3571
31555,8179,1033
31559,8179,5840
31562,2807,5085
31563,8467,1936
31564,8467,5840
31565,8184,918
31569,8810,8184
31577,7023,4074
31582,7023,5527
31583,7023,5804
31584,7023,8221
31587,9356,4597
31588,9356,6310
31589,9356,8160
31590,625,6616
31606,1515,8926
31613,672,3179
31621,5776,8550
31638,72,3779
31641,72,5996
31645,3897,1402
31647,3897,4201
31654,1510,1493
31655,8216,1493
31656,8216,2237
31658,5560,3193
31662,5560,7985
31669,4545,1904
31676,9061,4461
31679,9061,8454
31682,7174,2115
31684,1099,6258
31689,3162,4213
31702,120,5166
31703,6334,5601
31737,1137,7602
31739,1137,8948
31748,7432,6184
31758,8892,2428
31786,8822,1108
31787,8822,6716
31791,8985,8119
31793,4374,1444
31807,281,8208
31825,9123,8495
31830,3439,9392
31831,3714,355
31834,3714,5324
31836,3714,6453
31837,3714,6895
31838,3714,9125
31839,3714,9205
31848,2309,1834
31849,2309,6467
31851,8483,2309
31879,9563,480
31880,9563,3525
31882,8938,2155
31886,4643,3150
31896,6006,8181
31898,6176,3024
31899,2701,824
31900,2701,2933
31904,1334,2401
31921,8474,3089
31922,3773,327
31929,7559,3773
31930,7559,5687
31945,5794,1000
31946,5794,2051
31947,5794,3738
31960,9073,7947
31961,9073,9382
31970,8358,2279
31978,6505,800
32003,8220,691
32016,7841,9301
32018,5242,1754
32020,5405,1785
32021,5572,7203
32022,9793,1978
32027,9793,6030
32030,4379,3486
32036,6298,2566
32037,6298,5071
32039,1318,1008
32041,1318,2001
32052,7352,8320
32053,7352,8673
32063,8479,4319
32064,8479,5286
32066,9588,1627
32091,1729,9297
32092,1922,393
32096,5060,9486
32097,8032,2268
32098,8032,6491
32108,5868,7138
32110,7590,4414
32114,2685,6906
32137,4305,362
32138,4305,2734
32139,4305,3616
32140,4305,6114
32148,3017,561
32149,3017,2733
32150,5846,7129
32151,2373,4978
32152,2373,9405
32155,5698,1749
32156,5698,1902
32158,5698,5420
32161,8368,4770
32167,297,8590
32168,297,8943
32177,564,6546
32178,3208,4770
32179,7903,2744
32182,7903,5784
32187,411,1882
32193,1035,5364
32194,432,4597
32195,432,6580
32205,7834,3194
32206,7834,8015
32207,7834,9376
32214,7313,4792
32216,7313,5009
32218,7313,8392
32235,8515,4782
32236,8515,9720
32237,3178,2080
32238,3036,378
32242,3036,6916
32244,3998,2982
32245,3998,3036
32248,5213,414
32255,3190,5973
32256,646,3874
32257,646,5134
32258,5177,411
32260,5177,3804
32262,5177,8185
32263,774,4153
32267,5546,961
32269,5546,4572
32270,5546,6550
32271,5546,9746
32298,9540,1143
32299,9540,2303
32300,9540,2728
32301,9540,6567
32302,9540,9758
32303,2839,1143
32311,3355,4375
32313,1124,1401
32324,8797,4972
32344,891,1663
32346,891,4735
32347,891,6255
32348,891,9170
32350,1204,3561
32352,1204,9179
32354,4293,8469
32359,8594,6476
32360,8594,6550
32361,2211,2313
32362,3483,3808
32367,6221,5501
32370,8869,6148
32372,5765,741
32374,3793,3197
32375,3793,3603
32378,3793,8531
32381,3793,9804
32382,1053,6715
32383,1053,9462
32385,890,9170
32388,3414,2076
32389,3414,5501
32400,4783,220
32401,4783,680
32402,4783,1274
32416,7641,3534
32417,8994,9043
32420,9536,2061
32426,6750,1764
32428,6750,2103
32431,1225,35
32432,1225,66
32453,592,4219
32461,2370,8598
32462,1155,7276
32472,50,4815
32473,50,6120
32479,2511,4303
32489,3110,2431
32490,3110,5027
32491,3110,5575
32492,3110,6048
32499,1715,5029
32508,3594,7755
32517,8828,8504
32542,8136,2357
32561,495,7393
32577,2742,480
32586,8026,1424
32589,5109,5334
32590,5109,7904
32591,3802,7693
32592,8418,3225
32597,9753,8418
32598,9753,9403
32601,1692,5584
32604,1692,6043
32606,1692,8627
32609,9182,6507
32610,9182,7766
32633,6863,521
32634,6863,1108
32659,6322,3430
32663,7355,264
32673,9594,3559
32676,9594,7252
32680,3608,6064
32687,5112,9500
32690,4520,1424
32691,4520,5569
32698,4362,3329
32701,4362,8358
32704,3689,7658
32705,8776,4872
32730,6852,2172
32731,6852,2796
32733,6852,4508
32734,6852,5143
32735,6852,7468
32736,6852,9266
32737,6852,9551
32739,7314,8113
32741,3845,9235
32750,6303,5478
32751,6303,7965
32772,8817,8557
32774,8271,3127
32776,8271,9451
32777,8000,7758
32779,8559,3806
32780,1310,8559
32782,8096,5330
32783,8096,7432
32785,9369,4532
32787,9146,9151
32817,6412,6517
32819,5942,8548
32831,2245,5802
32833,2245,9834
32841,4085,2308
32842,4085,2763
32843,4085,6579
32853,8391,2214
32854,8391,4329
32856,161,4873
32857,161,9134
32858,487,8200
32860,8722,5238
32871,6037,6988
32877,8098,8692
32879,8783,8682
32908,6433,9776
32917,8834,4449
32918,8834,6433
32919,8834,8075
32920,7253,3855
32927,7467,801
32937,7467,7866
32954,7430,1416
32957,4695,7430
32960,8375,1626
32966,8375,8345
32980,7297,7557
32981,7923,3354
32983,853,5031
32985,1024,8413
32988,7000,3333
32989,7000,8931
32990,8380,5306
32991,6891,1322
32992,6891,1641
32994,8774,597
32999,4939,5893
33001,6809,1792
33003,6809,7271
33004,6809,8744
33012,1817,16
33016,1817,1353
33019,119,2331
33020,119,9379
33021,1089,3181
33059,9097,9238
33061,1953,8422
33062,1953,8623
33066,3087,7723
33069,7322,3736
33070,1239,641
33072,1239,1817
33080,6015,1239
33081,3598,2364
33082,3598,3682
33090,7081,8180
33102,1483,6854
33123,7054,8482
33125,6378,7777
33126,5856,3745
33128,8038,5856
33132,6709,1775
33133,6709,2079
33139,6103,1914
33150,3151,2600
33152,3151,6301
33154,3151,7007
33156,3151,8824
33157,6252,2756
33158,143,4687
33160,5055,9134
33167,2008,8868
33168,221,7466
33180,7872,3604
33193,8966,9795
33194,5385,2479
33198,6994,3734
33202,9256,1088
33208,316,8657
33213,9011,8709
33214,9011,9526
33219,8420,9241
33220,5225,6459
33221,5225,7332
33222,794,66
33223,794,6214
33225,3584,6005
33228,7492,1755
33230,7492,4808
33231,7492,7563
33232,5599,7148
33233,9428,75
33241,9476,4990
33242,9476,8141
33254,6439,9071
33255,980,3819
33263,7589,2753
33265,7589,4414
33266,7589,5206
33269,5827,1532
33272,7854,2133
33273,7854,8461
33282,2222,1756
33283,5413,654
33286,2389,6890
33287,3001,5082
33288,3001,6507
33289,3001,9556
33291,9698,8071
33298,2408,5782
33299,8930,3667
33300,8930,8840
33301,8930,9511
33331,2099,8641
33339,709,1807
33341,709,8220
33357,3848,4755
33362,2791,6156
33363,2791,6636
33364,2791,7267
33385,3396,6714
33393,5767,3455
33395,4084,3736
33396,4084,7548
33411,4505,762
33419,6275,358
33420,6275,8696
33421,6355,2576
33427,6355,3722
33441,5675,71
33442,5675,5784
33443,5675,8052
33447,1809,1607
33448,1809,4647
33449,4352,6324
33453,4432,4378
33461,932,4793
33462,932,5003
33465,2973,9243
33468,2107,3112
33479,3963,8432
33493,6387,7321
33495,5852,4534
33500,8142,2400
33503,8142,6695
33522,6253,2756
33523,3493,997
33524,3493,4594
33525,3493,7057
33530,2809,3015
33531,2809,6818
33536,6761,2300
33537,6761,3496
33539,6761,8952
33540,7951,2357
33544,3370,5711
33546,2695,5925
33553,2414,645
33554,2414,2895
33555,2414,3367
33558,6248,4079
33562,5602,7536
33563,505,2281
33564,505,4367
33565,505,4733
33566,9745,7161
33567,3182,75
33568,1119,935
33570,1119,9416
33594,8905,6720
33598,5911,769
33602,5911,4714
33604,4258,2491
33609,6202,296
33610,6202,8791
33611,6202,9677
33612,7052,4100
33613,7052,9295
33614,4970,8797
33615,4970,8898
33617,3405,2371
33620,3405,9395
33629,1458,830
33630,1458,1470
33635,4154,3167
33636,4099,8425
33637,4099,9593
33640,1006,4748
33655,7055,4302
33666,5568,2849
33667,5568,5567
33669,6226,3881
33670,559,2849
33676,4705,613
33677,4705,2874
33678,4056,5649
33679,4056,6734
33680,4056,9686
33685,7074,5154
33686,7074,5631
33688,2472,2772
33701,7838,4111
33702,7838,6923
33716,9373,4818
33730,6798,1521
33731,6798,3737
33734,7961,466
33737,7961,5600
33738,9687,4109
33739,388,1637
33743,4909,9692
33745,7671,6287
33750,8962,9098
33754,9786,9810
33760,3109,4545
33776,8137,5228
33777,8137,9151
33781,7061,5863
33782,1567,43
33797,1823,3700
33798,1823,8755
33810,4335,7589
33819,1249,3698
33820,1249,4063
33821,1249,7817
33823,3232,4628
33824,3232,5154
33827,1121,1748
33828,1121,9699
33833,8171,8645
33835,6628,8171
33840,7072,3187
33855,8951,1131
33859,8951,3713
33861,8951,6087
33871,4764,2910
33873,2358,9555
33874,6760,2493
33879,8339,990
33880,8339,4550
33889,1543,9042
33898,2266,1554
33905,2229,6276
33906,2229,8898
33907,2229,9248
33908,6806,9359
33911,488,3847
33916,488,9196
33929,4115,2096
33931,5327,2291
33936,9447,7494
33943,9457,7289
33954,181,3292
33956,181,8210
33958,4964,8079
33978,5111,2513
33980,1192,5364
33981,1192,5571
33982,5521,1102
33983,5521,5217
33985,1979,5480
33987,2991,5878
33989,9534,9453
33990,4326,802
33991,4326,1876
33992,8970,9188
33996,8561,5488
33997,8561,8440
33998,955,6531
33999,4189,4190
34001,4189,6912
34006,3393,4711
34008,3393,8461
34010,3839,846
34011,3839,8782
34013,6113,5210
34014,6113,6935
34016,5064,1212
34018,6899,4114
34022,6901,164
34041,1695,7949
34083,7953,6183
34087,8490,5230
34088,8490,9674
34096,7612,6710
34101,9832,8940
34110,7792,4118
34111,7792,4402
34120,9836,8940
34123,2468,9297
34127,1811,518
34129,8460,1060
34130,8460,3393
34131,8460,9260
34144,3441,9286
34145,6805,4384
34161,7917,9173
34163,8001,7979
34166,2954,6293
34183,5774,8065
34199,8499,6465
34207,7448,6148
34208,7448,7449
34215,7538,5373
34219,3365,4748
34221,8740,3365
34222,8987,2918
34223,8987,3049
34225,4290,1167
34227,8535,2030
34238,8897,8836
34239,5142,4990
34292,7226,189
34293,7226,3361
34294,7226,6512
34295,7226,6572
34296,7226,6847
34328,8480,7744
34330,295,3425
34337,4631,865
34351,7975,4631
34352,7975,5543
34355,7975,7458
34358,8992,1674
34360,8992,4974
34368,2424,4432
34372,2424,8668
34374,9108,7023
34376,5880,4397
34379,7140,7847
34380,8532,7057
34386,1585,4479
34391,8610,5249
34397,4358,8664
34406,7439,7438
34408,8452,2271
34413,1159,3373
34417,1159,6582
34419,5176,4014
34421,26,2763
34422,26,7956
34425,7644,3797
34452,7372,8917
34455,7324,2179
34456,7324,6918
34469,8016,5291
34470,8016,5447
34496,7254,367
34498,7254,5649
34500,1909,6750
34501,1909,9731
34503,3750,1285
34522,1905,7101
34524,9641,639
34525,9641,640
34534,5404,3481
34537,2629,1191
34538,2629,4728
34539,2453,2107
34546,7076,1360
34557,7076,6690
34580,1095,5060
34585,1095,7755
34592,8821,4995
34605,8429,9711
34607,9450,3356
34608,6430,75
34609,6430,7563
34611,1830,5173
34628,889,6462
34639,9175,3960
34640,186,7916
34641,4042,3221
34642,4042,4773
34652,113,5107
34664,8288,2608
34665,8288,4174
34668,4299,3932
34673,4261,4773
34674,4261,5927
34676,6197,5498
34681,4357,3561
34682,4357,7133
34685,6341,6029
34691,3723,6341
34692,3723,6396
34696,1205,2347
34706,3807,6721
34732,9393,4291
34737,1346,5930
34738,1346,8577
34739,7852,7747
34745,4462,6963
34748,2299,5447
34751,6461,7299
34758,7348,9439
34775,6832,7842
34776,6832,8693
34778,686,2435
34779,686,7356
34783,4991,7313
34784,4991,8327
34785,4991,9142
34793,5886,5443
34814,9790,4878
34815,9790,5614
34825,5860,5158
34841,6943,7981
34844,2904,7979
34853,7899,9578
34857,4007,5131
34860,3374,3397
34864,5743,3869
34867,5743,5510
34868,5743,5707
34873,8068,2208
34881,8068,9279
34883,4143,8392
34889,4135,2062
34897,7419,31
34898,7419,4135
34900,7426,6927
34901,7426,7706
34929,3091,5624
34932,3091,6893
34933,3091,6898
34947,2067,1926
34956,1912,5771
34958,4693,3855
34960,4693,6992
34963,7609,2579
34964,7609,5960
34966,8746,3356
34969,6070,4271
34970,6070,5407
34982,5748,8782
34997,1463,4471
34999,931,3666
35000,931,3961
35006,4579,4071
35012,6343,370
35015,6343,4579
35019,6343,9651
35022,2081,5077
35033,8702,7644
35035,8702,8643
35038,7770,6347
35039,7770,8704
35040,7065,824
35043,1404,2551
35044,3911,3634
35046,612,4846
35050,8477,784
35051,8477,1186
35053,5746,2655
35058,6236,1242
35059,6236,1990
35063,5016,4823
35064,5016,7150
35068,1243,86
35118,9763,6692
35138,627,5788
35168,3098,2042
35174,1970,1780
35184,8942,5975
35196,7141,2676
35197,7141,2893
35198,7141,5318
35205,6610,3340
35215,1634,9421
35216,3460,5681
35217,3156,3636
35219,3156,8548
35226,8986,8876
35229,5192,4034
35230,5192,9243
35235,572,1734
35242,572,4829
35254,4561,7545
35256,1588,602
35260,32,9177
35264,6233,32
35265,6233,713
35266,6233,6982
35267,7471,2786
35268,5252,2400
35269,5252,7021
35270,5252,7134
35275,8276,2284
35276,8276,5914
35277,8276,7615
35278,8276,7638
35280,4476,6859
35281,4476,8382
35285,4023,6794
35288,9044,4139
35289,9044,5664
35291,2059,8386
35293,933,292
35294,4163,9061
35306,5524,6616
35311,8268,8017
35312,8268,8178
35314,3154,8103
35333,4386,9011
35338,1661,8885
35339,9839,2817
35341,3562,4818
35342,3562,5361
35343,3562,5878
35344,1339,4806
35349,4241,3826
35350,6812,3044
35351,6812,9316
35353,8108,4984
35354,8108,8279
35355,4005,1490
35368,6763,7353
35369,4814,2649
35380,3294,1983
35384,6157,6406
35387,1376,9446
35388,4650,4211
35389,4800,168
35390,4800,4262
35392,7564,1891
35404,7955,4720
35405,7955,7710
35406,7955,8268
35408,4799,2432
35414,4799,8886
35415,4799,8997
35417,4947,9855
35443,4759,8785
35465,9640,3943
35470,9640,9652
35471,843,5987
35472,843,5992
35474,2471,486
35475,5750,9059
35479,162,5957
35481,162,7139
35484,2585,3680
35485,2585,3727
35486,2585,9578
35488,9690,7163
35498,8649,3687
35499,8649,3877
35500,9610,6083
35501,9610,7146
35502,14,4792
35505,6975,525
35508,6975,7884
35510,6975,9131
35512,3349,2825
35513,3349,4240
35514,494,5099
35515,494,7443
35517,6159,994
35521,6159,8992
35523,9601,4760
35525,9601,6268
35529,3097,4026
35532,2445,2244
35535,2445,8753
35536,3567,224
35537,5340,301
35539,5340,4653
35543,5482,8218
35545,9658,3134
35546,4381,548
35547,4381,7842
35548,4381,8979
35550,7826,8568
35560,4279,694
35561,6855,7558
35563,5415,6947
35568,7440,5415
35586,6913,9548
35587,6359,6709
35589,313,4556
35590,313,8831
35591,7328,3150
35592,98,1810
35593,98,2091
35606,3730,5371
35607,3730,8511
35608,3730,9574
35617,6332,5378
35618,6332,5655
35619,6332,6216
35620,6332,9582
35623,2793,1956
35628,2793,7961
35645,9239,5697
35647,9239,6691
35652,4048,3531
35657,8207,8892
35659,7116,4676
35664,1434,6598
35665,1434,8936
35672,4833,2187
35673,1252,5491
35674,1252,6082
35676,5376,3877
35680,5376,9663
35684,8603,3431
35694,4250,5317
35702,7109,2176
35705,7109,4506
35711,7109,8286
35713,9021,603
35716,5900,2854
35717,185,1097
35728,30,5858
35729,5637,2697
35732,2556,7178
35734,7791,1834
35735,7791,2556
35739,8913,6671
35741,8913,8806
35742,8913,9262
35763,7420,5451
35764,666,5218
35765,1087,330
35767,1087,6528
35768,9535,1616
35769,9535,9424
35789,6800,9781
35791,4372,4321
35792,9543,4321
35795,9310,6243
35799,9310,9703
35802,2646,2323
35807,2646,8313
35809,5688,6827
35810,6008,2601
35811,6008,5570
35812,5741,5364
35817,2606,9810
35823,5122,6212
35833,7882,3792
35834,7882,4472
35835,7882,8768
35836,3119,9117
35845,6450,3272
35847,6450,9613
35850,7388,4162
35872,4634,511
35873,4634,5870
35874,4634,7886
35875,4634,8363
35877,6403,6530
35890,1602,9182
35898,557,1611
35907,5187,5998
35908,5187,8910
35912,3362,4474
35913,3362,4923
35914,3362,9074
35926,4886,1418
35927,4886,3555
35929,4886,4861
35934,4886,9314
35935,5449,4716
35936,8715,2806
35939,584,6136
35943,3511,2054
35945,3511,7151
35949,7044,914
35966,4768,3000
35967,4768,5895
35975,9515,783
35976,9515,3807
35977,9680,5987
35988,6049,7136
35993,207,5287
35997,3931,3078
36000,515,8656
36001,515,8661
36007,7032,6856
36026,6914,7844
36027,7898,3629
36028,6191,8113
36030,4562,1773
36031,5432,4129
36033,2332,4561
36039,7878,2332
36045,859,8426
36052,2,8223
36069,8617,3986
36070,8617,8240
36074,8672,3377
36075,8672,4697
36076,8672,6589
36077,4658,5366
36086,7628,9098
36091,999,1057
36092,177,81
36093,177,4172
36104,1569,3861
36105,2559,1566
36106,5576,2650
36113,9105,5576
36114,9105,8114
36115,9105,8121
36119,2325,9766
36120,7657,9613
36124,3316,520
36125,3316,1580
36126,3316,7405
36144,2095,1394
36146,2095,6519
36148,2095,8513
36167,4033,4359
36177,4033,9850
36183,6631,2523
36184,6631,4918
36187,6631,8359
36190,1880,4842
36191,1880,8313
36195,7587,5210
36197,7587,6475
36199,2822,635
36200,2822,3185
36201,2822,3675
36203,7775,5112
36205,7775,7494
36206,3297,1292
36208,3297,6730
36209,3297,8773
36210,6168,4484
36211,2209,279
36238,1037,3831
36239,1037,5223
36255,9089,2136
36259,5421,1836
36260,5421,2165
36263,3868,5778
36265,3868,8311
36266,5559,1027
36267,5559,5925
36270,1061,1463
36274,1061,6343
36280,2064,9785
36281,4725,2353
36286,4531,9711
36289,8300,9603
36291,392,5963
36293,489,7663
36295,489,8614
36298,7962,1787
36299,605,489
36300,605,7962
36305,6948,5936
36306,6948,9847
36308,5768,2867
36309,5768,3090
36334,3175,766
36335,3175,1606
36336,3175,3503
36337,3175,5200
36338,3175,9074
36339,3175,9266
36340,3026,5910
36343,8024,117
36344,8024,674
36363,2312,1585
36364,2312,1756
36373,9667,3627
36374,9667,3833
36376,9667,9339
36377,7987,348
36378,7987,2089
36380,7987,9785
36385,6846,8992
36395,8687,714
36407,9784,3572
36409,9784,4890
